user_id,created_at,company_id,language,activated_at,state
0,01-01-2013 20:59,5737,english,01-01-2013 21:01,active
1,01-01-2013 13:07,28,english,,pending
2,01-01-2013 10:59,51,english,,pending
3,01-01-2013 18:40,2800,german,01-01-2013 18:42,active
4,01-01-2013 14:37,5110,indian,01-01-2013 14:39,active
5,01-01-2013 13:39,2463,spanish,,pending
6,01-01-2013 18:37,11699,english,01-01-2013 18:38,active
7,01-01-2013 16:19,4765,french,01-01-2013 16:20,active
8,01-01-2013 04:38,2698,french,01-01-2013 04:40,active
9,01-01-2013 08:04,1,french,,pending
10,01-01-2013 09:36,10,arabic,,pending
11,01-01-2013 08:07,3745,english,01-01-2013 08:09,active
12,01-01-2013 18:05,903,english,,pending
13,02-01-2013 12:27,4025,english,02-01-2013 12:29,active
14,02-01-2013 17:17,5077,portugese,,pending
15,02-01-2013 15:39,4259,english,02-01-2013 15:41,active
16,02-01-2013 17:45,10408,german,,pending
17,02-01-2013 10:56,5025,japanese,02-01-2013 10:57,active
18,02-01-2013 08:18,3,japanese,,pending
19,02-01-2013 09:54,326,english,02-01-2013 09:55,active
20,02-01-2013 09:41,7,italian,02-01-2013 09:43,active
21,02-01-2013 09:29,2606,english,02-01-2013 09:30,active
22,02-01-2013 17:36,545,german,02-01-2013 17:38,active
23,02-01-2013 20:04,15,english,,pending
24,03-01-2013 13:08,11301,english,,pending
25,03-01-2013 05:38,2,japanese,,pending
26,03-01-2013 12:11,9833,english,,pending
27,03-01-2013 16:14,6,japanese,03-01-2013 16:15,active
28,03-01-2013 09:53,1167,english,,pending
29,03-01-2013 13:00,1208,english,,pending
30,03-01-2013 08:28,4148,english,03-01-2013 08:29,active
31,03-01-2013 15:45,39,arabic,03-01-2013 15:46,active
32,03-01-2013 15:55,6518,english,,pending
33,03-01-2013 12:16,10768,english,03-01-2013 12:18,active
34,03-01-2013 11:24,11353,japanese,,pending
35,03-01-2013 16:06,1891,english,03-01-2013 16:07,active
36,03-01-2013 11:51,2,english,03-01-2013 11:53,active
37,03-01-2013 07:13,7943,spanish,,pending
38,04-01-2013 08:51,7618,french,,pending
39,04-01-2013 08:53,6322,chinese,,pending
40,04-01-2013 12:59,361,english,,pending
41,04-01-2013 13:06,5049,english,,pending
42,04-01-2013 19:52,3,english,,pending
43,04-01-2013 13:40,1486,english,,pending
44,04-01-2013 13:52,706,japanese,,pending
45,04-01-2013 07:46,7432,japanese,,pending
46,04-01-2013 13:48,719,english,,pending
47,04-01-2013 10:39,1,indian,04-01-2013 10:41,active
48,04-01-2013 09:55,27,english,,pending
49,05-01-2013 14:33,8727,spanish,05-01-2013 14:34,active
50,05-01-2013 17:41,12526,spanish,05-01-2013 17:43,active
51,05-01-2013 21:57,11855,english,,pending
52,06-01-2013 13:35,6,english,06-01-2013 13:37,active
53,06-01-2013 01:29,13119,english,,pending
54,06-01-2013 02:52,2,english,06-01-2013 02:54,active
55,06-01-2013 14:35,2233,german,06-01-2013 14:37,active
56,07-01-2013 08:03,4224,english,,pending
